10126000,7420,4,2,3,2
12250000,8960,4,4,4,3
12250000,9960,3,2,2,2
12215000,7500,4,2,2,3
11410000,7420,4,1,2,2
10850000,7500,3,3,1,2
10150000,8580,4,3,4,2
10150000,16200,5,3,2,0
9870000,8100,4,1,2,2
9800000,5750,3,2,4,1
9800000,13200,3,1,2,2
9681000,6000,4,3,2,2
9310000,6550,4,2,2,1
9240000,3500,4,2,2,2
9240000,7800,3,2,2,0
9100000,6000,4,1,2,2
9100000,6600,4,2,2,1
8960000,8500,3,2,4,2
8890000,4600,3,2,2,2
8855000,6420,3,2,2,1
8750000,4320,3,1,2,2
8680000,7155,3,2,1,2
8645000,8050,3,1,1,1
8645000,4560,3,2,2,1
8575000,8800,3,2,2,2
8540000,6540,4,2,2,2
8463000,6000,3,2,4,0
8400000,8875,3,1,1,1
8400000,7950,5,2,2,2
8400000,5500,4,2,2,1
8400000,7475,3,2,4,2
8400000,7000,3,1,4,2
8295000,4880,4,2,2,1
8190000,5960,3,3,2,1
8120000,6840,5,1,2,1
8080940,7000,3,2,4,2
8043000,7482,3,2,3,1
7980000,9000,4,2,4,2
7962500,6000,3,1,4,2
7910000,6000,4,2,4,1
7875000,6550,3,1,2,0
7840000,6360,3,2,4,0
7700000,6480,3,2,4,2
7700000,6000,4,2,4,2
7560000,6000,4,2,4,1
7560000,6000,3,2,3,0
7525000,6000,3,2,4,1
7490000,6600,3,1,4,3
7455000,4300,3,2,2,1
7420000,7440,3,2,1,0
7420000,7440,3,2,4,1
7420000,6325,3,1,4,1
7350000,6000,4,2,4,1
7350000,5150,3,2,4,2
7350000,6000,3,2,2,1
7350000,6000,3,1,2,1
7343000,11440,4,1,2,1
7245000,9000,4,2,4,1
7210000,7680,4,2,4,1
7210000,6000,3,2,4,1
7140000,6000,3,2,2,1
7070000,8880,2,1,1,1
7070000,6240,4,2,2,1
7035000,6360,4,2,3,2
7000000,11175,3,1,1,1
6930000,8880,3,2,2,1
6930000,13200,2,1,1,1
6895000,7700,3,2,1,2
6860000,6000,3,1,1,1
6790000,12090,4,2,2,2
6790000,4000,3,2,2,0
6755000,6000,4,2,4,0
6720000,5020,3,1,4,0
6685000,6600,2,2,4,0
6650000,4040,3,1,2,1
6650000,4260,4,2,2,0
6650000,6420,3,2,3,0
6650000,6500,3,2,3,0
6650000,5700,3,1,1,2
6650000,6000,3,2,3,0
6629000,6000,3,1,2,1
6615000,4000,3,2,2,1
6615000,10500,3,2,1,1
6580000,6000,3,2,4,0
6510000,3760,3,1,2,2
6510000,8250,3,2,3,0
6510000,6670,3,1,3,0
6475000,3960,3,1,1,2
6475000,7410,3,1,1,2
6440000,8580,5,3,2,2
6440000,5000,3,1,2,0
6419000,6750,2,1,1,2
6405000,4800,3,2,4,0
6300000,7200,3,2,1,3
6300000,6000,4,2,4,1
6300000,4100,3,2,3,2
6300000,9000,3,1,1,1
6300000,6400,3,1,1,1
6293000,6600,3,2,3,0
2154444,6100,3,2,2,1
